id,name,shelves,platforms,rating,review,dates,statuses,genres,franchises,developers,publishers,release_date,url,giantbomb_id
38636,Shovel Knight,"{""Played"": {""date_added"": ""2019-08-08T04:23:40Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},4,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Platformer"": {""url"": ""https://www.grouvee.com/games/?genre=platformer""}}","{""Shovel Knight"": {""url"": ""https://www.grouvee.com/games/franchise/3702-shovel-knight/""}}","{""8-4, Ltd."": {""url"": ""https://www.grouvee.com/games/?developer=8-4-ltd""}, ""Yacht Club Games"": {""url"": ""https://www.grouvee.com/games/?developer=yacht-club-games""}}","{""Nintendo"": {""url"": ""https://www.grouvee.com/games/?publisher=nintendo""}, ""Yacht Club Games"": {""url"": ""https://www.grouvee.com/games/?publisher=yacht-club-games""}}",2014-06-26,https://www.grouvee.com/games/38636-shovel-knight/,42034
22705,Dante's Inferno,"{""Played"": {""date_added"": ""2017-05-30T06:34:41Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},3,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}}",{},"{""Behaviour Interactive"": {""url"": ""https://www.grouvee.com/games/?developer=behaviour-interactive""}, ""Visceral Games"": {""url"": ""https://www.grouvee.com/games/?developer=visceral-games""}}","{""Electronic Arts"": {""url"": ""https://www.grouvee.com/games/?publisher=electronic-arts""}}",2010-02-09,https://www.grouvee.com/games/22705-dantes-inferno/,24827
86776,Ninja Gaiden: Master Collection,"{""Backlog"": {""date_added"": ""2021-06-25T13:33:04Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147652-backlog/""}}",{},,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Compilation"": {""url"": ""https://www.grouvee.com/games/?genre=compilation""}}","{""Ninja Gaiden"": {""url"": ""https://www.grouvee.com/games/franchise/551-ninja-gaiden/""}}",{},{},2021-06-10,https://www.grouvee.com/games/86776-ninja-gaiden-master-collection/,81835
128,Darksiders II,"{""Played"": {""date_added"": ""2017-05-30T06:39:14Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},4,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""Darksiders"": {""url"": ""https://www.grouvee.com/games/franchise/1830-darksiders/""}}","{""Gunfire Games"": {""url"": ""https://www.grouvee.com/games/?developer=gunfire-games""}, ""Vigil Games"": {""url"": ""https://www.grouvee.com/games/?developer=vigil-games""}}","{""EuroVideo Medien GmbH"": {""url"": ""https://www.grouvee.com/games/?publisher=eurovideo-medien-gmbh""}, ""Nordic Games Publishing AB"": {""url"": ""https://www.grouvee.com/games/?publisher=nordic-games-publishing-ab""}, ""THQ"": {""url"": ""https://www.grouvee.com/games/?publisher=thq""}}",2012-08-14,https://www.grouvee.com/games/128-darksiders-ii/,29941
19026,Resistance 2,"{""Played"": {""date_added"": ""2017-05-30T06:43:02Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""First-Person Shooter"": {""url"": ""https://www.grouvee.com/games/?genre=first-person-shooter""}}","{""Resistance "": {""url"": ""https://www.grouvee.com/games/franchise/1417-resistance/""}}",{},{},2008-11-04,https://www.grouvee.com/games/19026-resistance-2/,20699
88193,Toem,"{""Wish List"": {""date_added"": ""2021-09-13T17:32:48Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147654-wish-list/"", ""order"": 34}}",{},,,[],[],"{""Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=adventure""}, ""Puzzle"": {""url"": ""https://www.grouvee.com/games/?genre=puzzle""}}",{},{},{},2021-09-17,https://www.grouvee.com/games/88193-toem/,83013
78314,Fantasian,"{""Wish List"": {""date_added"": ""2021-08-13T13:50:31Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147654-wish-list/"", ""order"": 32}}",{},,,[],[],"{""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}",{},{},{},2021-04-02,https://www.grouvee.com/games/78314-fantasian/,75312
41785,Monster Hunter 4 Ultimate,"{""Played"": {""date_added"": ""2017-05-30T06:46:00Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},5,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""Monster Hunter"": {""url"": ""https://www.grouvee.com/games/franchise/1583-monster-hunter/""}}","{""8-4, Ltd."": {""url"": ""https://www.grouvee.com/games/?developer=8-4-ltd""}, ""Capcom"": {""url"": ""https://www.grouvee.com/games/?developer=capcom""}, ""Eighting/Raizing"": {""url"": ""https://www.grouvee.com/games/?developer=eightingraizing""}}","{""Capcom"": {""url"": ""https://www.grouvee.com/games/?publisher=capcom""}}",2015-02-13,https://www.grouvee.com/games/41785-monster-hunter-4-ultimate/,45239
82629,Sumire,"{""Played"": {""date_added"": ""2021-08-30T09:55:57Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/"", ""order"": 303}}",{},2,,[],[],"{""Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=adventure""}}",{},"{""GameTomo"": {""url"": ""https://www.grouvee.com/games/?developer=gametomo""}}",{},2021-05-26,https://www.grouvee.com/games/82629-sumire/,78868
1703,.hack//G.U. Vol. 1: Rebirth,"{""Played"": {""date_added"": ""2021-01-19T12:54:40Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{"".hack"": {""url"": ""https://www.grouvee.com/games/franchise/556-hack/""}}","{""CyberConnect2 Co., Ltd."": {""url"": ""https://www.grouvee.com/games/?developer=cyberconnect2-co-ltd""}}","{""Namco Bandai Games Inc."": {""url"": ""https://www.grouvee.com/games/?publisher=namco-bandai-games-inc""}}",2006-10-24,https://www.grouvee.com/games/1703-hackgu-vol-1-rebirth/,1695
36306,Metal Gear Solid V: Ground Zeroes,"{""Played"": {""date_added"": ""2018-09-10T09:59:56Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},4,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Shooter"": {""url"": ""https://www.grouvee.com/games/?genre=shooter""}}","{""Metal Gear"": {""url"": ""https://www.grouvee.com/games/franchise/323-metal-gear/""}, ""Metal Gear Solid"": {""url"": ""https://www.grouvee.com/games/franchise/1353-metal-gear-solid/""}}","{""Kojima Productions"": {""url"": ""https://www.grouvee.com/games/?developer=kojima-productions""}}","{""Konami Corporation"": {""url"": ""https://www.grouvee.com/games/?publisher=konami-corporation""}}",2014-03-18,https://www.grouvee.com/games/36306-metal-gear-solid-v-ground-zeroes/,39575
142,Pokémon Gold/Silver,"{""Played"": {""date_added"": ""2017-05-30T06:45:25Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},,,[],[],"{""Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=adventure""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""Pok\u00e9mon"": {""url"": ""https://www.grouvee.com/games/franchise/418-pokemon/""}}","{""Game Freak, Inc."": {""url"": ""https://www.grouvee.com/games/?developer=game-freak-inc""}}","{""Gradiente"": {""url"": ""https://www.grouvee.com/games/?publisher=gradiente""}, ""Nintendo"": {""url"": ""https://www.grouvee.com/games/?publisher=nintendo""}, ""The Pok\u00e9mon Company"": {""url"": ""https://www.grouvee.com/games/?publisher=the-pokemon-company""}}",1999-11-21,https://www.grouvee.com/games/142-pokemon-goldsilver/,8210
